确诊/出院,公开报道时间,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,消息来源,来源链接1,来源链接2,来源链接3
1月28日,1月29日,湖北,武汉市,315,0,19,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,黄石市,33,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,十堰市,23,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,襄阳市,61,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,宜昌市,12,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,荆州市,30,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,荆门市,28,0,1,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,鄂州市,27,0,1,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,孝感市,101,0,2,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,黄冈市,111,0,1,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,咸宁市,21,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,随州市,46,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,恩施州,13,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,仙桃市,5,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,天门市,11,0,1,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,潜江市,1,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,神农架林区,2,0,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,湖北,,0,28,0,湖北卫健委,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200129_2015921.shtml,,
1月28日,1月29日,山西,运城市,4,0,0,山西卫计委,http://m.news.cctv.com/2020/01/29/ARTIVuFq7IxWO6xm3D7FFSFJ200129.shtml,,
1月28日,1月29日,山西,晋中市,2,0,0,山西卫计委,http://m.news.cctv.com/2020/01/29/ARTIVuFq7IxWO6xm3D7FFSFJ200129.shtml,,
1月28日,1月29日,山西,大同市,1,0,0,山西卫计委,http://m.news.cctv.com/2020/01/29/ARTIVuFq7IxWO6xm3D7FFSFJ200129.shtml,,
1月28日,1月29日,德国,,3,0,0,央视,http://m.news.cctv.com/2020/01/29/ARTIKBTrjRkhuvBb8n5fxyCH200129.shtml,,
1月28日,1月29日,江西,南昌市,8,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,江西,新余市,8,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
1月28日,1月29日,江西,九江市,7,0,0,江西卫计委,https://wap.peopleapp.com/article/5083994/4979021,,
